"Time","F1","F2","F3",
7.49,0.1,0.3,0.3,
7.5,0.1,0.3,0.3,
7.51,0.1,0.3,0.3,
7.52,0.1,0.3,0.3,
7.53,0.1,0.3,0.3,
7.54,0.1,0.3,0.3,
7.55,0.1,0.3,0.3,
7.56,0.1,0.3,0.3,
7.57,0.1,0.3,0.3,
7.58,0.1,0.3,0.3,
7.59,0.1,0.3,0.3,
7.6,0.1,0.3,0.3,
7.61,0.1,0.3,0.3,
7.62,0.1,0.3,0.3,
7.63,0.1,0.3,0.3,
7.64,0.1,0.3,0.3,
7.65,0.1,0.3,0.3,
7.66,0.1,0.3,0.3,
7.67,0.1,0.3,0.3,
7.68,0.1,0.3,0.3,
7.69,0.1,0.3,0.3,
7.7,0.1,0.3,0.3,
7.71,0.1,0.3,0.3,
7.72,0.1,0.3,0.3,
7.73,0.1,0.3,0.3,
7.74,0.1,0.3,0.3,
7.75,0.1,0.3,0.3,
7.76,0.1,0.3,0.3,
7.77,0.1,0.3,0.3,
7.78,0.1,0.3,0.3,
7.79,0.1,0.3,0.3,
7.8,0.1,0.3,0.3,
7.81,0.1,0.3,0.3,
7.82,0.1,0.3,0.3,
7.83,0.1,0.3,0.3,
7.84,0.1,0.3,0.3,
7.85,0.1,0.3,0.3,
7.86,0.1,0.3,0.3,
7.87,0.1,0.3,0.3,
7.88,0.1,0.3,0.3,
7.89,0.1,0.3,0.3,
7.9,0.1,0.3,0.3,
7.91,0.1,0.3,0.3,
7.92,0.1,0.3,0.3,
7.93,0.1,0.3,0.3,
7.94,0.1,0.3,0.3,
7.95,0.1,0.3,0.3,
7.96,0.1,0.3,0.3,
7.97,0.1,0.3,0.3,
7.98,0.1,0.3,0.3,
7.99,0.1,0.3,0.3,
8,0.1,0.3,0.3,
8.01,0.1,0.3,0.3,
8.02,0.1,0.3,0.3,
8.03,0.1,0.3,0.3,
8.04,0.1,0.3,0.3,
8.05,0.1,0.3,0.3,
8.06,0.1,0.3,0.3,
8.07,0.1,0.3,0.3,
8.08,0.1,0.3,0.3,
8.09,0.1,0.3,0.3,
8.1,0.1,0.3,0.3,
8.11,0.1,0.3,0.3,
8.12,0.1,0.3,0.3,
8.13,0.1,0.3,0.3,
8.14,0.1,0.3,0.3,
8.15,0.1,0.3,0.3,
8.16,0.1,0.3,0.3,
8.17,0.1,0.3,0.3,
8.18,0.1,0.3,0.3,
8.19,0.1,0.3,0.3,
8.2,0.1,0.3,0.3,
8.21,0.1,0.3,0.3,
8.22,0.1,0.3,0.3,
8.23,0.1,0.3,0.3,
8.24,0.1,0.3,0.3,
8.25,0.1,0.3,0.3,
8.26,0.1,0.3,0.3,
8.27,0.1,0.3,0.3,
8.28,0.1,0.3,0.3,
8.29,0.1,0.3,0.3,
8.3,0.1,0.3,0.3,
8.31,0.1,0.3,0.3,
8.32,0.1,0.3,0.3,
8.33,0.1,0.3,0.3,
8.34,0.1,0.3,0.3,
8.35,0.1,0.3,0.3,
8.36,0.1,0.3,0.3,
8.37,0.1,0.3,0.3,
8.38,0.1,0.3,0.3,
8.39,0.1,0.3,0.3,
8.4,0.1,0.3,0.3,
8.41,0.1,0.3,0.3,
8.42,0.1,0.3,0.3,
8.43,0.1,0.3,0.3,
8.44,0.1,0.3,0.3,
8.45,0.1,0.3,0.3,
8.46,0.1,0.3,0.3,
8.47,0.1,0.3,0.3,
8.48,0.1,0.3,0.3,
8.49,0.1,0.3,0.3,
8.5,0.1,0.3,0.3,
8.51,0.1,0.3,0.3,
8.52,0.1,0.3,0.3,
8.53,0.1,0.3,0.3,
8.54,0.1,0.3,0.3,
8.55,0.1,0.3,0.3,
8.56,0.1,0.3,0.3,
8.57,0.1,0.3,0.3,
8.58,0.1,0.3,0.3,
8.59,0.1,0.3,0.3,
8.6,0.1,0.3,0.3,
8.61,0.1,0.3,0.3,
8.62,0.1,0.3,0.3,
8.63,0.1,0.3,0.3,
8.64,0.1,0.3,0.3,
8.65,0.1,0.3,0.3,
